employee_no,days_worked_total,total_hours_total,avg_hours_total,total_ot_total,late_days_total,late_minutes_total,days_worked_30,total_hours_30,avg_hours_30,total_ot_30,late_days_30,late_minutes_30,potential_absence_days_30
2,144,5200.0,36.111111111111114,4120.0,0,0.0,,,,,,,
10,410,14520.0,35.41463414634146,11312.0,0,0.0,,,,,,,
12,76,721.0,9.486842105263158,118.0,0,0.0,,,,,,,
25,1964,15792.95,8.041216904276986,1049.29,0,0.0,,,,,,,
48,32,257.92,8.06,5.589999999999998,0,0.0,,,,,,,
51,704,12145.32,17.251875,6722.85,0,0.0,,,,,,,
56,1528,11724.11,7.672846858638744,146.05999999999997,0,0.0,,,,,,,
59,1869,14393.18,7.701005885500268,822.89,0,0.0,,,,,,,
64,437,3494.24,7.995972540045766,232.84,0,0.0,,,,,,,
71,1848,14228.4,7.699350649350649,544.2,0,0.0,,,,,,,
90,706,5595.01,7.924943342776205,290.74,0,0.0,,,,,,,
95,195,1493.06,7.656717948717948,46.260000000000005,0,0.0,,,,,,,
97,1951,16068.4,8.23598154792414,1063.65,0,0.0,,,,,,,
103,12,89.07,7.422499999999999,2.459999999999999,0,0.0,12.0,89.07,7.422499999999999,2.459999999999999,0.0,0.0,18.0
106,145,1119.18,7.71848275862069,38.370000000000005,0,0.0,22.0,172.72,7.850909090909091,2.369999999999999,0.0,0.0,8.0
107,282,2230.2,7.908510638297872,69.69,0,0.0,15.0,120.73,8.048666666666668,2.0299999999999994,0.0,0.0,15.0
108,12,94.06,7.838333333333334,1.8600000000000012,0,0.0,11.0,85.99000000000001,7.817272727272728,1.790000000000001,0.0,0.0,19.0
116,1182,9481.6,8.02165820642978,468.26,0,0.0,,,,,,,
130,1002,7837.95,7.822305389221556,212.98999999999998,0,0.0,,,,,,,
157,1781,14359.54,8.062627737226277,524.36,0,0.0,,,,,,,
165,1907,15611.62,8.186481384373362,811.02,0,0.0,,,,,,,
167,1458,11078.78,7.598614540466393,334.02,0,0.0,,,,,,,
178,751,6158.69,8.200652463382157,627.3,0,0.0,,,,,,,
179,351,2584.69,7.363789173789174,120.22000000000001,0,0.0,,,,,,,
186,1897,15601.56,8.22433315761729,807.34,0,0.0,,,,,,,
191,541,4151.26,7.673308687615528,64.84,0,0.0,,,,,,,
195,216,6864.0,31.77777777777778,5208.0,0,0.0,,,,,,,
198,342,2641.33,7.723187134502924,11.899999999999999,0,0.0,,,,,,,
211,630,4329.22,6.871777777777778,88.37,0,0.0,,,,,,,
213,1416,10614.25,7.495939265536723,240.22,0,0.0,,,,,,,
217,344,2697.44,7.841395348837209,74.79,0,0.0,,,,,,,
219,1825,14679.01,8.043293150684931,929.38,0,0.0,,,,,,,
222,495,3733.79,7.5430101010101005,108.11999999999999,0,0.0,,,,,,,
223,849,6681.9,7.870318021201413,229.54,0,0.0,,,,,,,
230,1803,14235.59,7.895501941209096,360.58,0,0.0,,,,,,,
