RequestId,GroupId,GroupName,NumberUsers
0a386698-02c3-4046-a427-77159ee00da1,440281,All users group,130
0a386698-02c3-4046-a427-77159ee00da1,440282,All admins group,36
0a386698-02c3-4046-a427-77159ee00da1,595865,Field,88
0a386698-02c3-4046-a427-77159ee00da1,598172,AeroBarrier,1
0a386698-02c3-4046-a427-77159ee00da1,598177,Excellence and Empowerment,6
0a386698-02c3-4046-a427-77159ee00da1,598180,Finishers,15
0a386698-02c3-4046-a427-77159ee00da1,598181,Foremen,8
0a386698-02c3-4046-a427-77159ee00da1,598182,Executive Team,7
0a386698-02c3-4046-a427-77159ee00da1,598189,Insulators,8
0a386698-02c3-4046-a427-77159ee00da1,598192,Office,41
0a386698-02c3-4046-a427-77159ee00da1,598193,Project Managers,14
0a386698-02c3-4046-a427-77159ee00da1,598196,Site Coordinators,17
0a386698-02c3-4046-a427-77159ee00da1,598204,Warehouse,2
0a386698-02c3-4046-a427-77159ee00da1,598205,Wood Framers,11
0a386698-02c3-4046-a427-77159ee00da1,987321,Carpenters,30
0a386698-02c3-4046-a427-77159ee00da1,1006486,USCulture Club,10
0a386698-02c3-4046-a427-77159ee00da1,1251201,Testing Fun,2
0a386698-02c3-4046-a427-77159ee00da1,1251208,Test,26
0a386698-02c3-4046-a427-77159ee00da1,8394477,USCBuilds,130
0a386698-02c3-4046-a427-77159ee00da1,8394576,Subcontractors,0
0a386698-02c3-4046-a427-77159ee00da1,8569263,Superintendent,1
