client_id,system_id,company_no,dept_no,description,gl_wc_exp,gl_futa_exp,gl_suta_exp,gl_fica_exp,gl_burden_exp,wc_state,tax_pr_no,certified_payroll,wc_class_no,record_status,row_modified_by,row_modified_on,row_unique_id,record_guid,company_id,dept_id,tax_pr_id,wc_class_id,equipment_service_repair,sui_state_override,gen_liab_state,gen_liab_class_no,gl_gen_liab_exp,gen_liab_class_id
6,1,1,SUPER,Superintendent,5069.00,5012.00,5012.00,5012.00,NULL,NY,"NYNOTAX   ",N," 5606",A,KYLIEZ,2025-07-18 11:10:53.453000,15,b60a8f90-6ded-ef11-83c7-005056018a71,1,SUPER,NYNOTAX,5606,N,NULL,NY,99999,5067.000000,99999
6,1,1,ADMIN,Administration/Office,6029.00,6001.00,6001.00,6001.00,NULL,NY,"NYNOTAX   ",N," 8810",A,AMALONEY,2025-04-28 17:01:03.353000,2,dcb2c720-b548-ea11-8157-005056ba1d4e,1,ADMIN,NYNOTAX,8810,N,NULL,NY,99999,6030.000000,99999
6,1,1,CONST,Construction,6029.00,6501.00,6501.00,6501.00,NULL,NY,"NYNOTAX   ",N," 5606",A,AMALONEY,2025-04-28 17:37:26.473000,8,af4b1e4a-6644-eb11-8165-005056ba1d4e,1,CONST,NYNOTAX,5606,N,NULL,NY,99999,6061.000000,99999
6,1,1,"USCA ",Human Resources,6029.00,6601.00,6601.00,6601.00,NULL,NY,"NYNOTAX   ",N," 8810",A,AMALONEY,2025-04-28 17:27:51.140000,9,f439c2cd-6744-eb11-8165-005056ba1d4e,1,USCA,NYNOTAX,8810,N,NULL,NY,99999,6061.000000,99999
6,1,1,"BUSD ",Business Development,6029.00,6082.00,6082.00,6082.00,NULL,NY,"NYNOTAX   ",Y," 8810",A,AMALONEY,2025-03-31 12:07:18.697000,14,b368d020-4acc-ef11-83c4-005056018a71,1,BUSD,NYNOTAX,8810,N,NULL,NY,99999,6061.000000,99999
6,1,1,"ENGY ",Energy Dept,6029.00,6066.00,6066.00,6066.00,NULL,NY,"NYNOTAX   ",N," 5479",A,RLEWIS,2021-05-24 16:22:56.823000,13,0c1b7fcf-cdbc-eb11-816a-005056ba1d4e,1,ENGY,NYNOTAX,5479,N,NULL,NY,96410,6028.000000,96410
6,1,1,"EST  ",Estimating,6029.00,6301.00,6301.00,6301.00,NULL,NY,"NYNOTAX   ",N,NULL,A,AMALONEY,2025-03-31 12:10:45.667000,6,7819d7ae-6444-eb11-8165-005056ba1d4e,1,EST,NYNOTAX,NULL,N,NULL,NY,NULL,6061.000000,NULL
6,1,1,"EXEC ","Executive ",6029.00,6101.00,6101.00,6101.00,NULL,NY,"NYNOTAX   ",N,NULL,A,AMALONEY,2025-03-31 12:10:54.180000,4,0f5cf651-5844-eb11-8165-005056ba1d4e,1,EXEC,NYNOTAX,NULL,N,NULL,NY,NULL,6061.000000,NULL
6,1,1,FIELD,Field,5069.00,5012.00,5012.00,5012.00,NULL,NY,"NYNOTAX   ",Y,NULL,A,PATTIW,2018-11-07 11:30:59.707000,1,dbb2c720-b548-ea11-8157-005056ba1d4e,1,FIELD,NYNOTAX,NULL,N,NULL,NY,NULL,5067.000000,NULL
6,1,1,"GA   ",General & Admin,6029.00,6901.00,6901.00,6901.00,NULL,NY,"NYNOTAX   ",N,NULL,A,AMALONEY,2025-03-31 12:11:09.800000,12,18f1fb8d-6944-eb11-8165-005056ba1d4e,1,GA,NYNOTAX,NULL,N,NULL,NY,NULL,6061.000000,NULL
6,1,1,"MKTG ",Marketing,6029.00,6701.00,6701.00,6701.00,NULL,NY,"NYNOTAX   ",N,NULL,A,AMALONEY,2025-03-31 12:11:17.457000,10,54658022-6844-eb11-8165-005056ba1d4e,1,MKTG,NYNOTAX,NULL,N,NULL,NY,NULL,6061.000000,NULL
6,1,1,"PMS  ",Project Managers,5069.00,5012.00,5012.00,5012.00,NULL,NY,"NYNOTAX   ",N,NULL,A,AMALONEY,2025-02-17 15:32:33.910000,5,b2ffb487-6344-eb11-8165-005056ba1d4e,1,PMS,NYNOTAX,NULL,N,NULL,NY,NULL,5067.000000,NULL
6,1,1,PURCH,Purchasing,6029.00,6801.00,6801.00,6801.00,NULL,NY,"NYNOTAX   ",N,NULL,A,AMALONEY,2025-03-31 12:11:32.207000,11,fbae5163-6844-eb11-8165-005056ba1d4e,1,PURCH,NYNOTAX,NULL,N,NULL,NY,NULL,6061.000000,NULL
6,1,1,"SAF  ",Safety,6029.00,6401.00,6401.00,6401.00,NULL,NY,"NYNOTAX   ",N,NULL,A,RLEWIS,2020-12-22 09:57:58.090000,7,4ccd9113-6644-eb11-8165-005056ba1d4e,1,SAF,NYNOTAX,NULL,N,NULL,NY,NULL,6028.000000,NULL
6,1,1,"SHOP ",Shop,1.00,1.00,1.00,1.00,NULL,NULL,NULL,N,NULL,D,PATTIW,2018-06-15 14:41:34.023000,3,dab2c720-b548-ea11-8157-005056ba1d4e,1,SHOP,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL
