client_id,system_id,company_no,trade_no,description,minority_group_no,apprentice_trainee,wc_class_no,record_status,row_modified_by,row_modified_on,row_unique_id,company_id,minority_group_id,trade_id,wc_class_id,apprentice_rate_perc,work_classification,job_classification,wage_decision_no,wage_decision_id,category,construction_type,gen_liab_class_no,gen_liab_class_id,hide_disabled_rows_flag,foreman_flag
6,1,1,"SAFE ",Safety,NULL,N," 5606",A,AMALONEY,2025-09-07 11:10:32.063000,35,1,NULL,SAFE,5606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91580,91580,N,N
6,1,1,"CARP ",Carpenter,NULL,N," 5651",A,AMALONEY,2025-03-10 15:02:50.487000,9,1,NULL,CARP,5651,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91342,91342,N,N
6,1,1,"CLER ",Clerical,NULL,N," 8810",A,PATTIW,2020-01-07 14:03:41.647000,10,1,NULL,CLER,8810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99999,99999,N,N
6,1,1,"DRVR ",Driver,NULL,N," 8810",A,KYLIEZ,2024-02-07 08:00:54.547000,17,1,NULL,DRVR,8810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92338,92338,N,N
6,1,1,"DW   ",Drywallers,NULL,N," 5445",A,PATTIW,2020-01-02 11:44:48.053000,34,1,NULL,DW,5445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92338,92338,N,N
6,1,1,"EST  ",Estimator,NULL,N," 8810",A,7761,2018-06-12 14:53:52.160000,13,1,NULL,EST,8810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N
6,1,1,"FIN  ",Finishers,NULL,N," 5445",A,PATTIW,2020-01-03 13:28:22.053000,25,1,NULL,FIN,5445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92338,92338,N,N
6,1,1,"FRM  ",Foreman,NULL,N," 5606",A,AMALONEY,2025-03-10 15:03:15.267000,27,1,NULL,FRM,5606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99999,99999,N,N
6,1,1,INSUL,Insulation,NULL,N," 5479",A,PATTIW,2020-01-02 11:46:05.987000,28,1,NULL,INSUL,5479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96410,96410,N,N
6,1,1,"LAB  ",Laborer,NULL,N," 5445",A,PATTIW,2020-01-02 11:46:20.330000,5,1,NULL,LAB,5445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92338,92338,N,N
6,1,1,"OFCR ",Officer,NULL,N," 8809",A,PATTIW,2020-01-07 14:05:37.307000,11,1,NULL,OFCR,8809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99999,99999,N,N
6,1,1,"PM   ",Project Manager,NULL,N," 5606",A,AMALONEY,2023-12-12 12:46:47.240000,12,1,NULL,PM,5606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8810,8810,N,N
6,1,1,"SAL  ",Salesperson,NULL,N," 5606",A,7761,2018-06-12 14:55:27.453000,14,1,NULL,SAL,5606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N
